,precision,recall,f1-score,support
Checking or savings account,0.8832179930795848,0.8601516427969671,0.8715322236448997,1187.0
Credit card or prepaid card,0.8971036585365854,0.8288732394366197,0.8616398243045388,1420.0
"Credit reporting, credit repair services, or other personal consumer reports",0.6109839816933639,0.6576354679802956,0.6334519572953736,406.0
Debt collection,0.509090909090909,0.6021505376344086,0.5517241379310345,186.0
"Money transfer, virtual currency, or money service",0.5789473684210527,0.7076023391812866,0.6368421052631579,171.0
Mortgage,0.9099236641221374,0.9183359013867488,0.9141104294478528,649.0
Student loan,0.7307692307692307,0.6785714285714286,0.7037037037037037,28.0
Vehicle loan or lease,0.65625,0.8203125,0.7291666666666666,128.0
accuracy,0.8186826347305389,0.8186826347305389,0.8186826347305389,0.8186826347305389
macro avg,0.722035850714108,0.7592041321234695,0.7377713810321533,4175.0
weighted avg,0.8285076299503327,0.8186826347305389,0.8222836383340667,4175.0
